,,,,,,,,,,
GROUND FLOOR ROOF BEAM SHUTTER MEASUREMENT SCHEDULE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M,,FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M
101,1.800,0.300,6,3.24,,106-(A),1.800,0.375,8,5.4
,1.800,0.600,6,6.48,,,1.800,0.600,11,11.88
,1.800,0.425,6,4.59,,,1.800,0.475,1,0.855
FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M,,,1.800,0.425,11,8.415
102,1.800,0.300,3,1.62,,,0.825,0.425,1,0.350625
,1.800,0.600,3,3.24,,,0.825,0.475,2,0.78375
,1.800,0.450,3,0.81,,,0.825,0.375,2,0.61875
,0.700,0.300,1,0.21,,,0.825,0.600,1,0.495
,0.700,0.600,1,0.42,,,1.650,0.375,2,1.2375
,0.700,0.450,1,0.315,,,1.650,0.600,1,0.99
FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M,,,1.650,0.425,4,2.805
103,1.800,0.300,3,1.62,,,1.125,0.375,1,0.421875
,1.800,0.600,3,3.24,,,1.125,0.600,1,0.675
,1.800,0.475,3,2.565,,,1.125,0.425,2,0.95625
,1.125,0.300,1,0.3375,,FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M
,1.125,0.600,1,0.675,,107,1.800,0.300,1,0.54
,1.125,0.475,1,0.534375,,,1.800,0.325,2,1.17
,0.375,0.300,1,0.1125,,,0.825,0.300,1,0.2475
,0.375,0.600,1,0.225,,,0.825,0.325,2,0.53625
,0.375,0.475,1,0.178125,,,1.800,0.300,2,1.08
FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M,,,0.575,0.300,1,0.1725
104,1.800,0.375,4,2.7,,,1.800,0.425,2,1.53
,1.695,0.375,2,1.27125,,,5.75,0.425,2,4.8875
,1.800,0.475,4,3.42,,,1.800,0.450,2,1.62
,1.695,0.475,2,1.61025,,,0.575,0.450,1,0.25875
,1.800,0.425,4,3.06,,,1.800,0.300,1,0.54
,1.695,0.425,2,1.44075,,,1.800,0.600,1,1.08
,1.800,0.375,3,2.025,,,1.800,0.425,1,0.765
,0.625,0.375,1,0.234375,,,0.575,0.600,1,0.345
,1.800,0.475,3,2.565,,FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M
,0.625,0.475,1,0.296875,,108,1.800,0.300,2,1.08
,1.800,0.450,3,2.43,,,1.800,0.325,4,2.34
,0.625,0.450,1,0.28125,,,0.825,0.300,2,0.495
,1.800,0.375,1,0.675,,,0.825,0.325,4,1.0725
,1.800,0.475,1,0.855,,,1.800,0.300,4,2.16
,1.800,0.450,1,0.81,,,0.125,0.300,2,0.075
,1.300,0.375,1,0.4875,,,1.800,0.375,6,4.05
,1.300,0.475,1,0.6175,,,1.800,0.400,2,1.44
,1.300,0.450,1,0.585,,,0.125,0.375,3,0.140625
,1.800,0.375,3,2.025,,,0.125,0.400,1,0.05
,1.800,0.475,6,5.13,,FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M
,1.062,0.375,1,0.39825,,109,1.800,0.300,1,0.54
,0.175,0.375,1,0.065625,,,1.800,0.325,2,1.17
,1.062,0.475,2,1.0089,,,0.825,0.300,1,0.2475
,0.175,0.475,2,0.16625,,,0.825,0.325,2,0.53625
FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M,,,1.800,0.300,2,1.08
105,1.800,0.300,11,5.94,,,0.250,0.300,1,0.075
,1.800,0.600,7,7.56,,,1.800,0.400,4,2.88
,1.800,0.475,11,9.405,,,0.250,0.400,2,0.2
,1.595,0.300,2,0.957,,FB-S/L,Shutter D/L,Shutter D/W,Quantity(Pcs),Square M
,1.595,0.475,4,3.0305,,110,1.800,0.300,1,0.54
,0.575,0.300,1,0.1725,,,1.800,0.325,2,1.17
,0.575,0.600,1,0.345,,,0.825,0.300,1,0.2475
,0.575,0.475,1,0.273125,,,0.825,0.325,2,0.53625
,1.300,0.300,1,0.39,,,1.800,0.300,3,1.62
,1.300,0.600,1,0.78,,,1.800,0.600,1,1.08
,1.300,0.475,1,0.6175,,,0.925,0.600,1,0.555
,1.062,0.300,1,0.3186,,,1.800,0.475,2,1.71
,1.062,0.600,1,0.6372,,,1.650,0.300,1,0.495
,1.062,0.475,1,0.50445,,,0.725,0.475,1,0.344375
,0.175,0.300,1,0.0525,,,1.800,0.425,3,2.295
,0.175,0.600,1,0.105,,,1.650,0.425,1,0.70125
,0.175,0.475,1,0.083125,,,,,,
,,,,,,,,,,
GROUND FLOOR ROOF BEAM SHUTTER 275 Pcs And 177.325275 Square Meter ,,,,,,,,,,
